parish,year,median_income,dps_score,dps_letter,crime_total,home_value_avg,mortgage_rate_avg
Bienville Parish,2017,5840,93.4,B,262.0,91706.55829200415,3.9898076923076924
Bossier Parish,2017,48142,101.1,A,4610.0,178825.630108388,3.9898076923076924
Caddo Parish,2017,97283,78.2,C,13794.0,115341.88505871454,3.9898076923076924
Calcasieu Parish,2017,77130,84.8,C,10339.0,203575.82034546157,3.9898076923076924
Caldwell Parish,2017,3680,95.7,B,250.0,124224.00984584994,3.9898076923076924
Cameron Parish,2017,2686,102.9,A,178953.0,203831.864534823,3.9898076923076924
Catahoula Parish,2017,3747,87.0,B,132.0,114488.59880920434,3.9898076923076924
Claiborne Parish,2017,5980,78.1,C,122.0,241595.19073205313,3.9898076923076924
Concordia Parish,2017,7440,77.3,C,605.0,116042.73575644587,3.9898076923076924
East Baton Rouge Parish,2017,167188,73.5,C,25563.0,174914.85885307725,3.9898076923076924
East Feliciana Parish,2017,6817,83.5,C,278.0,179676.1941713804,3.9898076923076924
Evangeline Parish,2017,11928,92.5,B,1068.0,107277.22494841796,3.9898076923076924
Franklin Parish,2017,7622,68.8,D,205.0,97328.46053105185,3.9898076923076924
Iberia Parish,2017,26420,94.8,B,243.0,136898.06933343798,3.9898076923076924
Iberville Parish,2017,11142,81.5,C,1149.0,143336.78998841185,3.9898076923076924
Jackson Parish,2017,6032,88.7,B,52.0,117697.75587630295,3.9898076923076924
Jefferson Parish,2017,168786,78.9,C,14794.0,230068.55580341243,3.9898076923076924
Jefferson Davis Parish,2017,11435,100.6,A,575.0,153461.82359640204,3.9898076923076924
Lafayette Parish,2017,89677,93.8,B,9508.0,206324.60558059296,3.9898076923076924
Lafourche Parish,2017,36153,102.3,A,2602.0,208039.97754604238,3.9898076923076924
Lincoln Parish,2017,17370,100.4,A,1358.0,173266.86018279687,3.9898076923076924
Morehouse Parish,2017,10077,61.4,D,1450.0,89896.25316052376,3.9898076923076924
Natchitoches Parish,2017,14549,88.8,B,1844.0,167748.66798637694,3.9898076923076924
Ouachita Parish,2017,56799,99.2,B,9593.0,142926.9233632372,3.9898076923076924
Plaquemines Parish,2017,8759,110.7,A,343.0,253547.86644212634,3.9898076923076924
Pointe Coupee Parish,2017,8815,78.9,C,370.0,149284.98589117642,3.9898076923076924
