iter	RMSE
622	5404.300981
623	5399.819244
624	5384.807017
625	5377.494404
626	5368.066497
627	5363.347221
628	5355.374716
629	5349.591642
630	5343.979125
631	5337.548762
632	5333.718411
633	5329.453833
634	5318.164816
635	5313.370028
636	5309.809169
637	5302.891723
638	5292.654436
639	5285.883237
640	5280.179876
641	5274.966073
642	5264.466754
643	5255.389691
644	5253.195333
645	5249.661848
646	5243.997302
647	5240.268317
648	5236.079177
649	5223.397183
650	5219.729391
651	5217.834017
652	5214.653051
653	5209.451526
654	5208.367158
655	5207.948081
656	5203.509161
657	5198.476357
658	5192.936294
659	5191.179547
660	5184.88275
661	5173.58242
662	5163.008488
663	5160.857944
664	5157.551463
665	5151.991975
666	5142.467949
667	5140.084827
668	5131.980797
669	5124.964721
670	5122.318574
671	5119.189109
672	5111.619804
673	5099.279645
674	5090.142856
675	5088.560286
676	5080.715191
677	5078.297509
678	5073.631987
679	5071.578907
680	5065.939092
681	5063.43506
682	5058.278576
683	5050.387893
684	5047.802343
685	5042.120152
686	5038.917046
687	5027.936955
688	5023.846582
689	5013.896485
690	5006.254253
691	5003.358882
692	4995.267647
693	4993.293841
694	4985.35757
695	4979.433484
696	4962.869185
697	4956.998443
698	4950.600433
699	4941.73532
700	4936.855765
701	4933.154691
702	4922.520379
703	4920.025254
704	4912.282045
705	4911.13964
706	4906.684431
707	4902.020001
708	4894.320234
709	4887.445238
710	4883.253177
711	4874.409384
712	4868.745386
713	4868.482827
714	4866.181117
715	4863.414591
716	4858.240856
717	4849.46483
718	4845.479908
719	4843.557854
720	4834.499406
721	4827.73278
722	4821.069683
723	4816.700179
724	4814.174426
725	4806.967543
726	4805.137498
727	4803.739884
728	4796.755286
729	4789.506418
730	4786.93124
731	4784.566537
732	4780.414911
733	4778.041282
734	4774.056725
735	4771.722488
736	4767.868796
737	4763.756881
738	4753.383999
739	4745.891021
740	4742.932525
741	4734.710062
742	4730.867946
743	4725.966674
744	4723.276003
745	4711.965661
746	4707.304771
747	4705.205241
748	4699.416603
749	4688.789217
750	4682.032643
751	4674.200919
752	4672.173135
753	4661.071137
754	4658.471957
755	4655.246072
756	4649.804478
757	4644.886405
758	4639.65985
759	4636.702933
760	4630.836708
761	4624.248417
762	4620.920176
763	4612.981169
764	4607.158429
765	4603.261007
766	4600.866261
767	4597.559617
768	4589.338442
769	4588.179808
770	4585.726631
771	4583.490707
772	4577.175833
773	4567.604908
774	4564.645733
775	4562.759276
776	4557.100584
777	4555.98599
778	4552.837774
779	4549.986548
780	4541.469778
781	4536.777832
782	4533.480686
783	4531.672752
784	4528.938269
785	4521.285136
786	4512.986101
787	4507.657947
788	4497.699456
789	4493.58315
790	4489.49964
791	4480.239729
792	4477.50747
793	4475.856495
794	4467.793059
795	4466.922157
796	4463.723269
797	4460.843076
798	4455.975869
799	4450.222387
800	4448.72192
801	4440.022521
802	4433.908929
803	4431.251751
804	4426.288658
805	4420.710074
806	4416.540283
807	4414.940633
808	4411.961668
809	4411.279328
810	4408.320226
811	4404.045191
812	4401.215223
813	4397.930427
814	4390.805456
815	4390.04664
816	4386.156581
817	4381.297997
818	4378.735314
819	4375.49627
820	4371.206711
821	4369.389983
822	4365.136636
823	4363.318953
824	4357.544574
825	4347.904608
826	4342.933998
827	4339.646328
828	4338.648252
829	4338.302824
830	4335.777668
831	4329.654556
832	4324.881001
833	4322.412828
834	4320.842703
835	4316.363249
836	4314.447569
837	4306.049817
838	4300.998418
839	4296.765526
840	4284.551969
841	4283.390766
842	4281.688336
843	4278.398341
844	4270.21472
845	4268.924866
846	4265.968432
847	4264.901673
848	4248.376235
849	4241.924432
850	4236.479244
851	4233.228947
852	4229.870677
853	4221.88733
854	4213.156832
855	4205.521029
856	4204.093194
857	4202.157782
858	4198.935746
859	4194.095728
860	4190.565643
861	4187.886527
862	4184.824203
863	4180.112139
864	4177.286311
865	4172.712596
866	4167.751621
867	4157.855876
868	4152.327544
869	4150.770267
870	4143.434445
871	4141.812787
872	4139.317224
873	4129.344183
874	4124.06768
875	4121.413639
876	4113.269566
877	4111.383803
878	4107.551313
879	4104.24169
880	4095.323066
881	4094.089242
882	4091.075617
883	4089.813621
884	4087.808844
885	4084.817268
886	4079.039643
887	4076.414513
888	4072.495106
889	4064.607696
890	4062.472788
891	4048.993289
892	4042.428717
893	4037.481698
894	4030.218532
895	4028.536811
896	4024.678814
897	4022.363378
898	4014.023395
899	4000.656666
900	3996.458044
901	3994.779988
902	3994.428807
903	3992.438986
904	3985.336447
905	3980.632985
906	3977.730462
907	3975.373435
908	3972.590559
909	3971.318368
910	3970.589833
911	3966.760882
912	3963.233712
913	3956.238087
914	3949.042992
915	3944.934927
916	3944.192554
917	3940.185598
918	3937.373993
919	3931.292863
920	3927.523721
921	3922.841665
922	3918.400122
923	3914.164625
924	3910.823182
925	3907.509734
926	3905.773813
927	3897.865399
928	3895.660889
929	3893.76779
930	3890.039514
931	3885.533615
932	3882.529991
933	3881.281355
934	3879.741879
935	3874.085845
936	3873.710589
937	3867.515587
938	3860.058819
939	3857.327761
940	3849.363062
941	3847.471927
942	3836.229116
943	3832.38776
944	3828.271415
945	3821.159866
946	3819.766239
947	3816.18681
948	3813.458936
949	3808.357237
950	3807.590928
951	3805.829057
952	3796.890843
953	3791.333932
954	3790.590047
955	3788.029975
956	3785.819931
957	3779.750866
958	3778.419997
959	3775.294272
960	3773.921057
961	3771.361519
962	3761.975283
963	3758.000002
964	3754.947808
965	3749.860887
966	3744.792339
967	3737.229946
968	3734.016069
969	3731.533515
970	3725.604946
971	3722.04175
972	3715.626807
973	3710.82541
974	3708.780882
975	3706.037444
976	3702.750154
977	3699.156119
978	3693.888864
979	3692.709601
980	3688.653792
981	3684.876637
982	3683.623603
983	3677.415922
984	3670.798616
985	3669.286919
986	3663.603309
987	3658.171919
988	3651.087596
989	3648.151035
990	3643.474154
991	3642.111943
992	3641.916824
993	3640.072274
994	3637.607028
995	3634.091497
996	3629.744976
997	3625.078019
998	3622.385285
999	3621.371778
